hashtag,node_hash,weight
105micasalive,4775789937617671366,2
15gennaio,5086862935539460084,1
1decembrie,4313838798712150368,1
1dicembre,7800017937073704225,58
1diciembre,6283088407045531657,4
1miliardo,-5386461485839239998,1
1stfanmeetohmflukeday2,-883415440374793503,1
2020mama,-3090740062825859845,1
29novembre,-5360630935332975532,1
2dicembre,4894978947803975408,1
30novembre,-8683430093563756823,1
33giri,5543620812423942001,1
5dicembre,-7497505123160089750,1
5g,2615098700338653612,5
5gitaly2020,-6837197417835328679,2
5stelle,3442368247288925405,1
5vieartanddesign,-1596628847905168478,1
7dicembre,4042166752610635732,1
8_dicembre,1844441200754302390,1
8dicembre,450057290014098005,1
9dicembre,-1311793657148886684,5
abbinamenti,-8727959182954863581,3
abruzzese,-3472224652624427389,1
abruzzo,4683349434070377798,2
abusodufficio,9772126146658657,1
accaddeoggi,-7016915630395808564,3
accessibilità,9195925758298807031,1
acmilan,-1965973748935548916,2
acqua,2757563752050616396,2
acquedotto,-7755480425142385840,2
actafintech,963976943719773509,1
actionaid,9153740362489409926,3
actualgoalsaf,-1847645914127439530,1
ad10s,1815607253927582145,1
ad10sdiego,-9160829583508743323,1
addio,-2565252668032333981,1
adoropotente,3471417317330245713,1
adozione,-3094145979250389705,1
adventcalendar,-712045658177304375,1
advocacy,346587123000359603,1
aespa,-8950382422606893478,1
aespahotdebut,-8473347459541520146,1
afasenda12,4142470593090121473,1
afazenda12,8761927635745640717,1
afghanistan,6231113677693838513,1
agenziadelleentrate,-1944152802885470489,1
aggiornamento1dicembre2020,-4916567426313905057,1
agi,2677758385290990561,1
agorarai,7457813942700918089,1
agostinocasillo,-2861043080540187814,1
agricoltura,6519592140671159325,1
ai,-7877402882441981280,1
aids,2223086421979713926,20
aidsday,-25448311054219163,1
aidsday2020,-790796324649242861,1
airforcerenzi,-5437623819967349115,2
airplay,8131990111881051634,2
alaaabdeelfatah,412174349553146910,1
albania,-3629672911803281683,1
alberodinatale,2646242626795016300,2
album,-3194832447317370648,1
alessandropellizzari,3120722079813859901,1
alessiaslorenzi,6261724085669731019,1
alitalia,3263430338363201130,2
allerta,-899941844174067792,1
allertameteoer,-348388986009256144,1
almamater,-3479829933894167291,3
alsisi,5190354755744772300,1
amantestampella,-2918717820989964525,1
amanti,4564019091529472780,1
amarefabene,8642078877775648146,1
amazon,7286988317992130176,2
ambiente,8419368761342011827,1
american,-8556298323881759976,1
amici20,5126659043367911441,2
aml,6167905596628862913,1
amministratorecondominialemascalucia,4498890858373540993,1
amministratoreimmobiliaremascalucia,4983448653589346023,1
amministratoridicondominiocatania,-3119318706399131341,1
amore,5218720536480882207,1
anala,524213890077440648,1
anastasia,-9032149868089282096,1
andreariccardi,-2426361804869334685,2
angelilli,4603191919253750408,4
angels4women,7719039598877573527,1
animalcrossingnewhorizons,2499517488637074623,2
animeerranti,2002107268691454391,1
anitwt,-1837277633991803929,1
anlaids,5738394932704269940,1
annamariafurlan,1214870290629495615,4
annesylvestre,-6753257832153130819,1
annunci,2451973112460172364,1
annuncicalabria,-1711730471073917639,1
annuncicatanzaro,-7730943125607545126,1
ansa,-5561083893870613514,7
ansalifestyle,4310141852083840052,1
ansaviaggiart,-376473460960406481,1
antenati,-2230947378715674493,1
anteprima24,-3883867548830466042,3
antiborghese,-1023940852517278015,1
antimafia,-4051071280555983025,1
antiriciclaggio,7242028807413889006,1
antoninochefacademy,-6578747349540636611,1
antonioligabue,-2821506064864217043,1
aperithinik,4456685758456070127,3
appello,-3951645130109642103,1
apple,-1903218603626193817,1
appleitalia,-6680729798748964597,1
applenews,-3364360039235408645,1
appleusa,-7901519114484030307,1
architettura,1633294608739249642,1
arcticmonkeys,5581019735285525232,1
aria,-8083437693182298929,1
ariaitalia,-8486788551616744860,3
arpaise,-8782972214531529649,1
arredo,-192104512875697280,1
art,6687629276451512809,1
arte,8680600637466779384,1
articolo13,2346483615200163225,1
arturodiaconale,4397733368164933064,4
aslbenevento,8239682959895445964,1
aspirapolvere,-1696825752695393458,2
asroma,-2985351578017936045,1
ass,-1571715586114203078,1
assassins,4569387324664906735,1
assemblaggio,-1161174520871519279,1
assembleacapitolina,-5626305252303270032,2
assolombarda,-2992231847893136310,1
atac,5134392960182119948,1
atalantamidtjylland,-3579345080349293014,1
ateez,6248344442803951364,1
atestaalta,5230306477335201883,1
attualitàbenevento,1396716960140937434,2
attualitànapoli,1973743122341096186,1
attualitàregione,545681276137062263,1
auction,4808628835942872226,1
audizione,-6698655792461315898,1
aui,-2606564661011040511,1
auriemma,2753379485020366473,1
auro,3156225665456633950,1
auroit,170191086040885326,1
autoblu,1005914129037771468,3
autostrade,2846608287604672845,1
autunno,6282443333689244126,1
avantitutta,5024792444194049182,1
avellino,-7799157638532868197,2
avvento,4605361627979780723,3
avvocati,-3860571876376726695,1
azzolina,-7210728563410196747,1
bahrein,-7745833694614324662,1
bambini,2270998324937022165,1
bandmaid,749851710340767176,1
barella,1350226549273494293,4
bari,4320479382022407554,1
basilica,-4173534984586580756,2
basilicata,-5957223821066084411,2
bastaomerta,5764264563251799507,1
bastapoco,6308525014466469166,1
baviera,4299166021670339434,1
baysideschool,-685833840686151426,1
bbeditore,-6299897806514440505,1
bbslombard,4606735570679342283,1
bbtvi,-8822853670702669334,1
bbtvi2020,407573943195654636,1
beegeesfilm,4422974281308910544,1
beigua,1381050642788667058,1
belluno,-6556705961885629529,1
benedettaeconomia,-4081999751446254661,1
benevento,5977720638809889727,4
bentornatoermal,-3564404021688719531,6
berardi,2220515363610616056,1
berat,-3809532973676627591,1
bergamo,-1073061654045527124,1
bergoglio,657290626927220853,3
berlusconi,-8209080334885401293,5
bibitari,-1422886947101876656,1
biden,-7718598815974145249,2
big,516546310510979167,1
bigdata,-1800999917771845957,1
biliardo,-3704386541145883841,1
binetti,-5574443171353169162,1
biontech,8876925146051535261,1
biopsia,9157572467324630796,1
biotecnologie,-8001797737043626478,1
birra,-4645850098282413970,2
bisceglie,-6991366490542205557,1
bisceglie24,-1006605189949385776,1
bitcoin,2439447154126732911,1
bitti,-5766035256355781414,6
blackfriday,-4135828719553078116,4
blackfridaypoint,-1342778573317493940,1
blackpink,4670473856198241237,1
blastchristian,-5642219235171890006,2
blindrun,1333856292619976873,1
blister,-9063660720728140576,1
blockchain,-3185531872158420392,1
blog,4649575799230018740,1
blogsicilia,-5736629460162054304,2
blogsicilianotizie,-7139372570209038500,8
bmginter,-5317338291432472313,1
bnt162b2,-3566013080876270761,1
boccabiliosa,-1187415613362980134,1
body,5722002042849005518,2
boldrini,-2182508751772265815,4
bollettino,-8287866247256092008,1
bologna,8121691312808602280,1
bonus,-411738475164190541,1
book,-7088042490305757857,1
books,-1780548479418737330,2
bookstagram,-8628554302974801026,1
borghi,-671711235329394107,1
borussia,-7270372179354357248,1
borussiainter,6814926489617033511,3
boscaglia,-8124933738145804602,1
