src,dst,weight,relationship
-9221332502613573073,-1984154834769389549,1,retweet
-9221332502613573073,5716305150392977516,1,retweet
-9219693359968805098,-2257564019754091948,1,retweet
-9219549102668777674,-2257564019754091948,1,retweet
-9219382895234142683,8829455021685575298,1,retweet
-9215171917652589969,-4797852236494944712,1,retweet
-9211610735396311682,-2257564019754091948,1,retweet
-9206428767147406170,-2257564019754091948,1,retweet
-9202264134284622896,-2257564019754091948,1,retweet
-9201864934331887881,-26855062292416401,1,retweet
-9201864934331887881,1987371527185521157,1,retweet
-9198454796819785353,-2257564019754091948,1,retweet
-9198454796819785353,-670789280849086716,1,retweet
-9196189216551556486,-2257564019754091948,1,retweet
-9195097093617277392,-2257564019754091948,1,retweet
-9190005382841014588,-2257564019754091948,1,retweet
-9179210933184720922,-6404947361006343658,1,retweet
-9179210933184720922,-6206580603202501058,1,retweet
-9179210933184720922,3860906207295495283,1,retweet
-9179210933184720922,9024566309269450386,1,retweet
-9177677857401391037,-2257564019754091948,1,retweet
-9172164472780349028,-197293017705358857,1,retweet
-9166250714939903237,7804336616800092556,1,retweet
-9164681403624434523,-2257564019754091948,1,retweet
-9161388018082040508,-3584148841054858767,1,retweet
-9161388018082040508,-2257564019754091948,1,retweet
-9161388018082040508,-48175696301411263,1,retweet
-9161388018082040508,535239241922741310,1,retweet
-9161388018082040508,932406988490008569,1,retweet
-9161388018082040508,3775886519339483684,1,retweet
-9161388018082040508,5251909552930587773,1,retweet
-9161388018082040508,5860058446203335671,1,retweet
-9161388018082040508,6380124289630198915,1,retweet
-9161388018082040508,8004472222805755067,1,retweet
-9161388018082040508,8118826997140566117,2,retweet
-9161388018082040508,8829455021685575298,1,retweet
-9161294139907908133,-2257564019754091948,1,retweet
-9160749803027718814,-2257564019754091948,1,retweet
-9157596252464734639,-2257564019754091948,1,retweet
-9156122260026430672,-2257564019754091948,1,retweet
-9156106807275629256,-2257564019754091948,1,retweet
-9153116703416582132,-2257564019754091948,1,retweet
-9151758517692061782,-2257564019754091948,1,retweet
-9150086499508773563,-2257564019754091948,1,retweet
-9149197444078279996,-2257564019754091948,1,retweet
-9147786509944526128,-2257564019754091948,2,retweet
-9145082769083261458,-2257564019754091948,2,retweet
-9140607632492097412,-2257564019754091948,1,retweet
-9137799389274186019,3933961940858833319,1,retweet
-9136774387493402263,-2257564019754091948,3,retweet
-9135797516775792299,-2257564019754091948,1,retweet
-9134778120464131000,-2257564019754091948,2,retweet
-9133556579272938218,-2257564019754091948,1,retweet
-9130367107196521842,-2257564019754091948,1,retweet
-9128784224083573944,-2257564019754091948,1,retweet
-9125846458393374966,-2257564019754091948,1,retweet
-9125846458393374966,3376887842969347486,2,retweet
-9125006306495344722,-3943491415761837197,2,retweet
-9125006306495344722,6700816848314931244,3,retweet
-9122381564559970574,-2257564019754091948,1,retweet
-9121798894976132423,-2257564019754091948,1,retweet
-9118919926315215010,-2257564019754091948,1,retweet
-9111372755659423929,-2257564019754091948,1,retweet
-9108678587335242216,-2257564019754091948,1,retweet
-9103280681494319928,-2257564019754091948,5,retweet
-9099232934807390953,-2257564019754091948,2,retweet
-9099232934807390953,-2005461842545448878,1,retweet
-9085622039278559800,-7138976096000581197,1,retweet
-9082470616271046349,-2257564019754091948,1,retweet
-9079784575005258753,-2257564019754091948,1,retweet
-9077334069635843070,-2257564019754091948,1,retweet
-9077039429273650304,-2257564019754091948,3,retweet
-9075776561917517584,2459607316744887704,1,retweet
-9075776561917517584,3779083077795630704,1,retweet
-9073470453447801960,-2257564019754091948,1,retweet
-9072373456040280730,-4111547140534493247,1,retweet
-9070641501715109774,-3738337132986578566,1,retweet
-9070641501715109774,-2257564019754091948,1,retweet
