user,node_hash,weight
607983,1508186613495884551,1
625653,1653326816325448013,1
801754,6375706721113462284,1
828841,-795810526919925784,1
1123481,-6071218053800160295,1
2612551,-2211953082463501244,1
5378612,8728418530895897097,1
5893702,2853616464984398375,1
6086872,3141462010434211792,1
6439122,1533173086169577830,1
6532332,44900520991139150,2
6751112,4543840236211537185,2
6831142,-550368563650281246,1
7396172,-7955673548779728392,1
8329782,2322038294881099902,1
8377932,4585946117493771357,1
8797082,3228108488869378097,1
8960282,7856613789006337283,4
9017032,6014707661582723324,1
9437162,59989407362344930,1
9734552,5657995262723391096,1
9940892,-3400094588388072808,2
10301542,2764844783142474191,1
11258252,8509347625518091889,1
11355182,131504783967945251,1
11366862,4710595185835208599,2
13243172,4525811316902728312,1
13277252,340891488722645491,1
13280042,-8850103534201390423,1
13397192,7805641180214528101,1
13514762,1050272623425043221,2
13642942,-3046419772537582286,1
14459738,-9196189216551556486,1
14761003,-7408362204681924223,1
14897369,-9070641501715109774,2
14932455,-6916705998030302990,1
15445837,6777963478678050327,1
15675210,2363591098165025843,1
15796976,211082056334625333,1
16145985,4977960982451958946,1
16456006,3807295475026374574,1
16723578,574395132630939329,1
16994466,-755784642132040457,1
17028890,-6272929754148824041,1
17087036,-71991766889525418,1
17211295,-6880331878803337179,1
17629536,-7103243090817946169,1
17650681,1303463479898566213,1
17711306,-77182938464395728,2
17733231,-7530131070258747233,1
17894285,3798267963979283662,1
17894384,458969556771911861,2
17913700,-1120237255761580710,2
17994452,652283472871249994,1
18864035,7409970118892484751,2
18935802,7768301181013573669,3
18938993,9081675186151417300,1
19230915,3431049670680531586,1
19388402,-6732166009675811409,1
19445334,4757990307149285356,1
19923515,750304325492979547,1
19962352,1777478775489044240,1
20323844,-7690007759993135599,1
20581857,8571738955847332338,1
20790972,7671127713947099574,1
20849130,-7786975901021853245,4
21468139,-1448952459078388575,1
21668842,-9111372755659423929,1
21750761,2161594911555138103,1
21948566,-7678583618814796553,1
22199865,6326736856646931242,1
22466802,1320030586767803820,1
22616757,-6643056191936947005,1
22617135,7737625535445264830,1
22659500,-8400647149922928306,3
22900968,-2898690257420477090,1
22912640,2484786722301666552,1
23774462,-1778875057216627976,1
24498128,4685287922818411870,1
25676606,88781661014879120,2
26463965,8195842643952838217,2
26499377,-6041421943819382411,1
26504439,-9082470616271046349,1
27068570,383612559351740356,1
27416420,-8495495097178938581,1
27877543,-6836995295118850969,1
28081142,1863545705505577949,1
28932686,-7624943093817558221,1
29203992,-6575574442030187505,1
29205423,8300162904217462111,1
29255304,-6958240409178503957,1
29291289,8918742745129138612,2
29450143,7174482072078544766,1
29963394,4942300839700990288,2
30426063,-2727950135883936591,2
30427244,1852592723915482069,1
30905624,-9125846458393374966,3
31540097,-3325609649050018575,1
31733972,-4500162138592626697,1
33441391,3734583688928058849,1
34000882,-5676082142380237896,1
35525950,-6218292219787464654,5
35579991,3920363978109094601,2
35694393,-1665689516034870417,1
35819412,5620677549278167070,1
36043253,-1998917174091629922,1
36079217,-6557061932243937948,2
36353564,5310144185774353176,2
36368839,-328088489012552885,1
38931028,-4935586479333060943,1
39048830,2877054098492841891,1
40206238,-6195424971225394517,1
40354809,8764347315076359363,5
40436485,-6811177865340589610,1
40877093,-6687700916986802320,1
41908058,7894463783623039805,1
42287898,-2971633696105645967,1
42884405,6834173167709620302,2
42891770,-7912171680472564465,1
43080880,7906384074559226165,1
43309580,5860113127103896409,1
43891997,6105214625766601673,1
44136211,-6686255342384542539,1
44151274,-8851411475454297397,1
44176891,354299455524984132,1
44882802,-810273710993319194,1
45050441,4823326347998139430,1
45113716,-4083915756926277610,1
45176195,-8230582396172730726,1
45391358,284622837699709101,1
45521162,-1098277586110064614,1
45861942,4755522165501458988,1
47154019,6294790610349437964,1
47373547,-5264596231166183482,1
47578036,-7195305285731800993,1
47626792,-7445341383066977411,1
47631534,3114827335886483673,1
47769965,9210219836657936854,1
48005137,-5557370223226921492,1
48054700,1788777879751900917,1
48304109,-3210731026583309051,1
48318393,3771043630145309336,2
48484178,-1471401451257582160,1
48648064,1784543859210805071,1
49954018,-8633547024501153270,3
50237845,7123331179171133598,3
50464885,5733629236221810482,1
50582498,-2403862062521733265,1
50597132,6108139090500363008,1
50675331,8588713749204163082,1
50766607,-2507116947886541240,1
50797032,3999668413961049253,1
51080278,-830545125194060626,3
51474178,3702858748324160300,1
51971740,1711721176955764171,1
52345722,-7354602758072249323,1
52367440,-2638286926185720182,1
52728754,6049037736892327732,1
53185852,7412011473818123045,1
53314545,4204775732838588151,1
53853014,1016265345233694729,1
54169275,6377199695138731838,1
54192742,-8904417095864609631,1
54490682,-3347544571001013280,1
55229326,2372275751636700831,2
55279033,-1058533205206565589,1
55878806,-3559681887325354818,1
56454622,-1792002872231135114,2
57637533,-8909385589840934763,1
57965532,-3081043727421622741,1
58211648,2217988453461884247,2
58260131,5176530713543881419,1
58302599,5317854915745176055,1
59075081,-1883475071634207017,2
59519508,-2709857452251106970,1
60554365,6943403776776759598,1
60858695,7288152399453724486,1
60863549,-390266825491259867,2
60878240,-8084431050811829756,1
61133225,-7876856081523409848,3
61162279,646273121907009355,2
61724062,5122876582327613811,1
62021818,-8804060541438574999,2
62491631,-5328105562713082358,1
62520644,-2242979024516214979,1
62531122,6652035533512656520,1
63112064,8762837132071909374,1
63168164,6904279157972006469,1
63422952,7898751892406601472,1
63509403,-8672419793037497157,1
63880152,-6012029131179005419,1
63998579,-4418732778328479940,1
64200022,8905160449109060695,1
64475083,-2777543784877283707,1
65606966,2503173808630549927,1
65642016,-7219660930084986344,1
66649996,-3899960392584618610,2
66691037,3412509573615399082,1
67487546,7447218274742222478,1
68403383,-6286299518823092006,1
